ip,checked_at,verdict,vt_malicious,vt_suspicious,vt_harmless,vt_undetected,vt_total,vt_score,vt_status,abuse_score,abuse_country,abuse_isp,abuse_total_reports,abuse_last_reported,abuse_status
185.220.101.45,2026-05-25 17:50:47,MALICIOUS,17,2,43,29,91,17/91,ok,100,DE,Network for Tor-Exit traffic.,113,2026-05-25T10:23:33+00:00,ok
203.0.113.42,2026-05-25 17:50:51,CLEAN,0,0,55,36,91,0/91,ok,0,,,1,2026-05-20T09:51:14+00:00,ok
45.33.32.156,2026-05-25 17:50:55,SUSPICIOUS,4,0,54,33,91,4/91,ok,12,US,Linode,4,2026-05-15T13:52:57+00:00,ok
198.51.100.77,2026-05-25 17:50:59,CLEAN,0,0,54,37,91,0/91,ok,0,,,6,2026-05-14T00:22:53+00:00,ok
91.108.4.100,2026-05-25 17:51:02,CLEAN,0,0,56,35,91,0/91,ok,0,NL,Telegram Messenger Network,0,,ok
